Ma Famille,Lektion zwei : Meine Familie,
Famille,Familie 
mon,mein  
le père,der Vater 
le frère,der Bruder 
le fils,der Sohn 
le mari,der Mann 
ma,meine 
la mère,die Mutter 
la sœur,die Schwester 
la fille,die Tochter 
la femme,die Frau 
Questions et réponses sur la famille,Fragen und Antworten zur Familie 
Qui est-ce ?,Wer ist das? 
C’est mon,Das ist mein
C’est ma,Das ist meine 
Comment s’appelle-t-il?,Wie heißt er?
Comment s’appelle-t-elle ?,Wie heißt sie?
Elle s’appelle ,Sie heißt 
Il s’appelle ,Er heißt 
Quel âge a-t-il ?,Wie alt ist er? 
Quel âge a-t-elle ?,Wie alt ist sie? 
Il a quatorze ans.,Er ist vierzehn Jahre alt.
Elle a quatorze ans.,Sie ist vierzehn Jahre alt.
Âge,Alter 
Quel âge avez-vous ?,Wie alt sind Sie?
J’ai dix-neuf ans ,Ich bin neunzehn Jahre alt. 
